Roof Insulation,Wall Insulation,Lighting watt/zone_floor_area,Ventilation ACH,Mech. Vent. OutdoorAirFlow/Person,Electricity:Facility,DistrictHeating:Facility,DistrictCooling:Facility
0.5798385898981865,0.0581077286882468,2.743436171707396,5.699977843641481,0.0824198203653032,5993873523.884656,17689144561.362732,2186043770.5316014
0.7879304960236344,0.0637469562696443,3.807742251517415,5.985503800212455,0.0912995145132028,6169306718.323738,17989057906.98327,2064361032.0161867
0.8466741234199148,0.0473655189654408,2.0096287734298293,4.403247460353248,0.0656052500645937,5872917552.266186,16487638169.938608,2332285990.616704
0.2744535008560478,0.0734229303488044,2.4071255579570074,5.094307221995421,0.033274426720053,5938438300.490527,14182691096.802898,2720025113.455073
0.6808652362828153,0.0785862960240397,3.278130702497593,4.65949493466529,0.1252509511983632,6082009043.699006,20206294063.60352,1985938786.077784
0.5266458968603871,0.0832544864767186,3.802249704864607,4.3320536475564655,0.0235376187913412,6168401363.160232,12396965298.024405,2543257911.067988
0.6578459830797735,0.0839048790025472,4.068271737177913,5.249065284263385,0.1429305830187306,6212250680.386935,21224836598.67416,1925354101.6289704
0.7310266233547025,0.059931664439172,2.2328799420013,2.631597799439845,0.1407959474266367,5909716802.413983,21504473394.5834,2104710584.652098
0.716894254617743,0.0795198922447012,3.0676410624931414,5.383485048387016,0.0274757686017214,6047313319.750024,12642390027.766108,2365239504.5631666
0.5756392965975122,0.0804983350720035,3.3879752467664197,3.837884666233823,0.014608020225234,6100115093.883577,11575690108.429728,2584061857.7321224
0.6197691460839544,0.0387307962086838,2.3536129532339154,2.481946183823437,0.0466731300814335,5929617635.676693,15383337266.103554,2899192622.638324
0.5812060668714362,0.0278800328741041,2.172783748217298,3.2011741988671893,0.0401008990454228,5899810942.202193,15341443015.92404,2925787981.7239823
0.3317621668548598,0.0683797989817134,2.11078574522368,0.7712565201584162,0.0122306167868344,5889591600.303896,12141645217.591425,4191107491.249263
0.5356480081570737,0.0886980916190311,4.355544712702624,5.634135108727181,0.0143690351052015,6259602862.929494,11436178523.057484,2370621108.4439774
0.6235127724030882,0.0422133979057959,2.265934517863367,2.35717136702952,0.0168985791357309,5915165300.683718,12676387000.017435,3056276954.670665
0.8928780076225139,0.0466330520539633,2.213703442861615,5.759038957152711,0.0634582730893082,5906555874.7766695,16301249426.18131,2258396799.4902945
0.8989624420939404,0.0681101971910091,3.7920423249209887,5.286901889521553,0.089241960010833,6166718845.974308,17692367980.16525,2073087400.577588
0.8032675909396761,0.0638584000491499,2.935357659405458,5.488783577234698,0.0773034437007211,6025508596.075902,16984675930.682549,2131315042.8449132
0.2661836485830426,0.0527990088102023,2.081349410723551,1.9707052754401584,0.0305249656275114,5884739509.075727,14428772160.973,3440385678.012341
0.561208680434221,0.0884949876179215,2.309496532620888,4.988142746176606,0.0954484075546161,5922345775.877919,18203592109.76931,2060728973.4198065
0.8528258723907437,0.0473448894534444,2.142311398446481,4.68143194796099,0.0838178606059293,5894788081.049963,17876053946.62228,2202076747.5543146
0.6640767608473579,0.0785323321983195,4.938323402074144,5.091623596730521,0.0614889666612893,6355664258.299628,15462029360.040203,2280871087.2985883
0.519999875317977,0.061469691540995,2.4486106878035456,4.52747212553716,0.0210647767652068,5945276435.674342,12653611887.90354,2564731532.222859
0.3015671607642095,0.0462362490103548,2.045419430468745,0.3684660101079963,0.0479831489809736,5878817048.110963,15912411618.658466,4161719788.290695
